FID,LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
497,-1,55,85,534033.147499999960000,3379335.801800000000000
498,-1,55,85,534033.046800000010000,3379345.118700000000000
499,-1,55,85,534072.205199999970000,3379345.541999999900000
500,-1,55,85,534072.305900000040000,3379336.225200000200000
501,-1,55,85,534033.147499999960000,3379335.801800000000000
502,-1,59,86,534126.704299999980000,3379350.089300000100000
503,-1,59,86,534145.119399999970000,3379350.301000000000000
504,-1,59,86,534145.195399999970000,3379343.688500000200000
505,-1,59,86,534126.780400000050000,3379343.476799999800000
506,-1,59,86,534126.704299999980000,3379350.089300000100000
507,-1,54,87,533983.829099999970000,3379339.823499999900000
508,-1,54,87,533983.422299999980000,3379355.932000000000000
509,-1,54,87,534025.332399999960000,3379356.990300000200000
510,-1,54,87,534025.739100000010000,3379340.881800000100000
511,-1,54,87,533983.829099999970000,3379339.823499999900000
512,-1,60,88,534074.369700000040000,3379361.043099999900000
513,-1,60,88,534111.476000000020000,3379361.926599999900000
514,-1,60,88,534111.675999999980000,3379353.528899999800000
515,-1,60,88,534074.569600000050000,3379352.645500000100000
516,-1,60,88,534074.369700000040000,3379361.043099999900000
517,-1,79,89,533716.852500000040000,3379345.486200000200000
518,-1,79,89,533716.783300000010000,3379362.948200000000000
519,-1,79,89,533776.870299999950000,3379363.186300000200000
520,-1,79,89,533776.939499999980000,3379345.724400000200000
521,-1,79,89,533716.852500000040000,3379345.486200000200000
522,-1,66,90,533906.067900000020000,3379351.323799999900000
523,-1,66,90,533905.938300000040000,3379365.508200000000000
524,-1,66,90,533952.293399999970000,3379365.931599999800000
525,-1,66,90,533952.422999999950000,3379351.747200000100000
526,-1,66,90,533906.067900000020000,3379351.323799999900000
527,-1,78,91,533785.571099999940000,3379356.512800000100000
528,-1,78,91,533785.503099999970000,3379368.089499999800000
529,-1,78,91,533830.548500000030000,3379368.354100000100000
530,-1,78,91,533830.616500000000000,3379356.777400000000000
531,-1,78,91,533785.571099999940000,3379356.512800000100000
532,-1,68,92,533846.028500000010000,3379358.324300000000000
533,-1,68,92,533845.840500000050000,3379369.444800000200000
534,-1,68,92,533892.804200000010000,3379370.238599999800000
535,-1,68,92,533892.992100000030000,3379359.117999999800000
536,-1,68,92,533846.028500000010000,3379358.324300000000000
537,-1,61,93,534035.714000000040000,3379367.790000000000000
538,-1,61,93,534035.452999999980000,3379376.383500000000000
539,-1,61,93,534072.044899999980000,3379377.494800000000000
540,-1,61,93,534072.305900000040000,3379368.901300000000000
541,-1,61,93,534035.714000000040000,3379367.790000000000000
542,-1,62,94,533968.234500000020000,3379382.955999999800000
543,-1,62,94,533967.995400000010000,3379391.518800000200000
544,-1,62,94,534028.638000000040000,3379393.212200000000000
545,-1,62,94,534028.877100000040000,3379384.649300000200000
546,-1,62,94,533968.234500000020000,3379382.955999999800000
547,-1,76,95,533727.512600000020000,3379385.654000000100000
548,-1,76,95,533727.512600000020000,3379398.883200000000000
549,-1,76,95,533772.227199999960000,3379398.883200000000000
550,-1,76,95,533772.227199999960000,3379385.654000000100000
551,-1,76,95,533727.512600000020000,3379385.654000000100000
552,-1,77,96,533787.308500000040000,3379385.389500000000000
553,-1,77,96,533787.308500000040000,3379399.544700000000000
554,-1,77,96,533834.007600000010000,3379399.544700000000000
555,-1,77,96,533834.007600000010000,3379385.389500000000000
556,-1,77,96,533787.308500000040000,3379385.389500000000000
557,-1,70,97,533846.954499999990000,3379385.179599999900000
558,-1,70,97,533846.786399999980000,3379400.398600000000000
559,-1,70,97,533894.676100000040000,3379400.927800000200000
560,-1,70,97,533894.844200000050000,3379385.708699999800000
561,-1,70,97,533846.954499999990000,3379385.179599999900000
562,-1,67,98,533915.071699999970000,3379402.964000000200000
563,-1,67,98,533914.898000000040000,3379411.433600000100000
564,-1,67,98,533961.358899999990000,3379412.386099999800000
565,-1,67,98,533961.532600000040000,3379403.916499999800000
566,-1,67,98,533915.071699999970000,3379402.964000000200000
567,-1,72,99,533804.303599999980000,3379414.257300000200000
568,-1,72,99,533804.091900000000000,3379425.691300000100000
569,-1,72,99,533849.812000000030000,3379426.537899999900000
570,-1,72,99,533850.023700000020000,3379415.103999999800000
571,-1,72,99,533804.303599999980000,3379414.257300000200000
572,-1,71,100,533861.638900000020000,3379412.034800000000000
573,-1,71,100,533861.335500000040000,3379425.648200000200000
574,-1,71,100,533902.875099999950000,3379426.574300000000000
575,-1,71,100,533903.178599999980000,3379412.960899999800000
576,-1,71,100,533861.638900000020000,3379412.034800000000000
577,-1,75,101,533740.609500000020000,3379411.847800000100000
578,-1,75,101,533740.609500000020000,3379422.828100000000000
579,-1,75,101,533782.016799999980000,3379422.695799999900000
580,-1,75,101,533782.016799999980000,3379429.575000000200000
581,-1,75,101,533788.895999999950000,3379429.442700000000000
582,-1,75,101,533788.895999999950000,3379412.509300000000000
583,-1,75,101,533740.609500000020000,3379411.847800000100000
584,-1,74,102,533741.438500000050000,3379437.540699999800000
585,-1,74,102,533741.381300000010000,3379449.600399999900000
586,-1,74,102,533786.043100000010000,3379449.812100000200000
587,-1,74,102,533786.100300000050000,3379437.752400000100000
588,-1,74,102,533741.438500000050000,3379437.540699999800000
589,-1,73,103,533804.091999999950000,3379440.080699999800000
590,-1,73,103,533804.041300000040000,3379450.880500000000000
591,-1,73,103,533849.126300000000000,3379451.092100000000000
592,-1,73,103,533849.177000000030000,3379440.292400000200000
593,-1,73,103,533804.091999999950000,3379440.080699999800000
